file_name;time;procs_per_node;nodes
1_2_2;3:55.47;1;2
1_4_4;2:07.51;1;4
1_8_8;1:08.17;1;8
2_2_4;2:07.54;2;2
2_4_8;1:08.18;2;4
2_8_16;0:37.22;2;8
3_4_12;0:47.64;3;4
3_8_24;0:36.75;3;8
4_16_64;0:22.40;4;16
4_32_128;0:25.26;4;32
4_8_32;0:21.46;4;8
data;;data;data
